N	S	F
0	1671.000000	40.877867
0	6587.000000	128.891427
0	16343.000000	275.530398
0	32605.000000	489.678466
0	57089.000000	779.426071
0	83174.000000	1009.247244
0	104700.000000	1135.742048
0	115395.000000	1166.382870
0	108577.000000	1196.881364
0	77366.000000	1457.741404
0	31468.000000	1870.832435
1671	-20303.000000	2265.582265
1574	-68750.000000	2544.075078
1595	-103822.000000	2674.430407
1666	-115139.000000	2700.066851
1716	-108715.000000	2733.362581
1734	-89654.000000	2796.679817
1710	-64026.000000	2867.794972
1703	-38483.000000	2922.356412
1648	-20130.000000	2942.384747
1700	-8066.000000	2949.165984
1666	-1932.000000	2955.922191
1624	219.000000	2961.137788
1762	-203.000000	2964.417143
1631	-1002.000000	2966.200600
1720	-1530.000000	2962.917819
1686	-982.000000	2956.841896
1656	-203.000000	2954.864633
1660	1291.000000	2953.125971
1683	2868.000000	2953.585956
1655	3853.000000	2951.637342
1656	3726.000000	2947.884326
1629	3226.000000	2947.547116
1682	1697.000000	2951.476410
1665	-291.000000	2958.809727
1691	-2067.000000	2962.445443
1729	-3083.000000	2961.187093
1654	-4013.000000	2958.784041
1665	-3744.000000	2958.419849
1715	-2887.000000	2957.689470
1689	-1515.000000	2956.668564
1674	-397.000000	2955.457156
1610	1403.000000	2953.769625
1737	1980.000000	2954.015572
1592	2289.000000	2949.063072
1755	1615.000000	2942.843693
1547	862.000000	2938.823914
1692	-994.000000	2945.729451
1643	-1545.000000	2953.384330
1789	-1847.000000	2956.742295
1629	-1275.000000	2948.971516
1618	-562.000000	2938.913405
1642	988.000000	2932.488022
1681	1350.000000	2933.017218
1628	1058.000000	2934.723156
1640	394.000000	2934.466902
1656	-128.000000	2936.982806
1653	-863.000000	2941.319262
1678	-847.000000	2941.998131
1668	92.000000	2933.570862
1650	996.000000	2923.581707
1554	1222.000000	2919.594150
1636	1174.000000	2924.314963
1686	921.000000	2929.478623
1680	-22.000000	2929.892148
1588	-628.000000	2929.649467
1611	-63.000000	2930.867960
1734	1032.000000	2932.812643
1627	2013.000000	2931.951739
1611	3138.000000	2923.047040
1622	3522.000000	2915.632693
1574	2694.000000	2922.112934
1679	1099.000000	2934.341664
1697	-454.000000	2946.194834
1653	-1923.000000	2950.272360
1674	-2668.000000	2943.960937
1665	-2982.000000	2939.640794
1626	-2562.000000	2937.557148
1725	-2194.000000	2938.428492
1599	-1751.000000	2944.544617
1678	-1522.000000	2949.248040
1696	-721.000000	2948.824342
1682	-249.000000	2945.885436
1618	478.000000	2938.677934
1652	893.000000	2935.983821
1622	1163.000000	2936.403753
1709	516.000000	2937.222157
1613	-47.000000	2936.222233
1664	-645.000000	2935.612543
1639	-526.000000	2939.087954
1675	23.000000	2944.042968
1687	1575.000000	2944.474656
1630	2971.000000	2936.259014
1631	3857.000000	2924.889571
1595	3847.000000	2923.844558
1620	3202.000000	2933.445415
1721	1357.000000	2948.714805
1617	-122.000000	2958.736893
1768	-699.000000	2957.130197
1644	-913.000000	2952.553640
1606	-760.000000	2953.148489
1723	367.000000	2955.040270
1704	815.000000	2960.184623
1646	-50.000000	2964.633198
1645	-894.000000	2966.349271
1762	-1940.000000	2971.481112
1687	-3623.000000	2977.474601
1702	-4813.000000	2980.426983
1724	-4567.000000	2976.602594
1728	-3978.000000	2972.172942
1658	-2761.000000	2970.112961
1693	-643.000000	2971.187473
1710	2149.000000	2974.283947
1696	4220.000000	2973.670795
1660	5702.000000	2969.111315
1639	6150.000000	2962.469240
1684	5305.000000	2957.115655
1680	2595.000000	2961.745600
1621	-162.000000	2975.347711
1788	-2684.000000	2988.784703
1732	-4241.000000	2995.225367
1751	-4507.000000	2991.188894
1690	-2582.000000	2979.945637
